nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Kendaraan Bermotor";"Tidak Ada";1964;Tahun;83571;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1964;Tahun;220953;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1964;Tahun;481536;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1965;Tahun;166845;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1965;Tahun;18414;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1965;Tahun;84646;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1965;Tahun;225413;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1965;Tahun;495318;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1966;Tahun;179494;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1966;Tahun;19584;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1966;Tahun;92891;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1966;Tahun;281779;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1966;Tahun;573748;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1967;Tahun;186109;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1967;Tahun;18449;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1967;Tahun;92208;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1967;Tahun;284578;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1967;Tahun;581344;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1968;Tahun;201743;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1968;Tahun;19610;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1968;Tahun;92417;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1968;Tahun;308404;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1968;Tahun;622174;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1969;Tahun;218866;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1969;Tahun;19367;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1969;Tahun;94065;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1969;Tahun;368724;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1969;Tahun;701022;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1970;Tahun;238924;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1970;Tahun;23541;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1970;Tahun;102263;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1970;Tahun;440005;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1970;Tahun;804733;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1971;Tahun;259282;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1971;Tahun;22797;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1971;Tahun;115082;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1971;Tahun;528009;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1971;Tahun;925170;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1972;Tahun;277210;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1972;Tahun;26488;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1972;Tahun;131175;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1972;Tahun;615220;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1972;Tahun;1050093;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1973;Tahun;306713;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1973;Tahun;30036;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1973;Tahun;143252;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1973;Tahun;714333;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1973;Tahun;1194334;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1974;Tahun;337789;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1974;Tahun;31439;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1974;Tahun;166457;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1974;Tahun;944733;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1974;Tahun;1480418;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1975;Tahun;383061;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1975;Tahun;35103;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1975;Tahun;196416;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1975;Tahun;1191771;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1975;Tahun;1806351;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1976;Tahun;420945;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1976;Tahun;40001;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1976;Tahun;223062;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1976;Tahun;1419375;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1976;Tahun;2103383;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1977;Tahun;479335;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1977;Tahun;48089;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1977;Tahun;278979;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1977;Tahun;1704964;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1977;Tahun;2511367;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1978;Tahun;535442;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1978;Tahun;58389;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1978;Tahun;336753;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1978;Tahun;1990250;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1978;Tahun;2920834;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1979;Tahun;577933;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1979;Tahun;69550;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1979;Tahun;384752;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1979;Tahun;2274958;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1979;Tahun;3307193;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1980;Tahun;639464;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1980;Tahun;86284;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1980;Tahun;473831;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1980;Tahun;2671978;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1980;Tahun;3871557;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1981;Tahun;719336;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1981;Tahun;113509;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1981;Tahun;589439;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1981;Tahun;3207499;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1981;Tahun;4629783;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1982;Tahun;791019;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1982;Tahun;134430;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1982;Tahun;657104;"Mobil Barang"
