nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Kendaraan Bermotor";"Tidak Ada";2010;Tahun;8891041;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2010;Tahun;2250109;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2010;Tahun;4687789;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2010;Tahun;61078188;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2010;Tahun;76907127;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2011;Tahun;9548866;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2011;Tahun;2254406;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2011;Tahun;4958738;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2011;Tahun;68839341;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2011;Tahun;85601351;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2012;Tahun;10432259;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2012;Tahun;2273821;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2012;Tahun;5286061;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2012;Tahun;76381183;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2012;Tahun;94373324;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2013;Tahun;11484514;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2013;Tahun;2286309;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2013;Tahun;5615494;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2013;Tahun;84732652;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2013;Tahun;104118969;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2014;Tahun;12599038;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2014;Tahun;2398846;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2014;Tahun;6235136;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2014;Tahun;92976240;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2014;Tahun;114209260;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2015;Tahun;13480973;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2015;Tahun;2420917;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2015;Tahun;6611028;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2015;Tahun;98881267;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2015;Tahun;121394185;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2016;Tahun;14580666;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2016;Tahun;2486898;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2016;Tahun;7063433;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2016;Tahun;105150082;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2016;Tahun;129281079;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2017;Tahun;15423968;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2017;Tahun;2509258;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2017;Tahun;7289910;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2017;Tahun;111988683;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2017;Tahun;137211818;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2018;Tahun;16440987;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2018;Tahun;2538182;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2018;Tahun;7778544;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2018;Tahun;120101047;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2018;Tahun;146858759;Jumlah
